run_date,itinerary_id,destinations_sequence,depart_date,return_date,total_price_usd,price_per_person_usd,total_travel_hours,outbound_travel_hours,return_travel_hours,num_stops_outbound,num_stops_return,airlines,rank
2025-11-18,2026-05-29_HKT-BKK_2026-06-12,HKT > BKK,2026-05-29,2026-06-12,1522.93,1522.93,51.83,30.17,20.33,1,1,"AI,SL,TG",1.0
2025-11-18,2026-05-29_BKK-HKT_2026-06-12,BKK > HKT,2026-05-29,2026-06-12,1622.43,1622.43,45.09,21.42,22.25,1,1,"KE,SL",2.0
2025-11-18,2026-06-01_BKK-HKT_2026-06-13,BKK > HKT,2026-06-01,2026-06-13,1295.53,1295.53,49.33,25.58,22.25,1,1,"AC,KE,VZ",1
2025-11-18,2026-06-01_BKK-HKT_2026-06-14,BKK > HKT,2026-06-01,2026-06-14,1295.53,1295.53,49.33,25.58,22.25,1,1,"AC,KE,VZ",2
2025-11-18,2026-05-30_BKK-HKT_2026-06-13,BKK > HKT,2026-05-30,2026-06-13,1355.53,1355.53,49.33,25.58,22.25,1,1,"AC,KE,VZ",3
2025-11-18,2026-05-30_BKK-HKT_2026-06-14,BKK > HKT,2026-05-30,2026-06-14,1355.53,1355.53,49.33,25.58,22.25,1,1,"AC,KE,VZ",4
2025-11-18,2026-06-01_BKK-HKT_2026-06-12,BKK > HKT,2026-06-01,2026-06-12,1419.53,1419.53,49.33,25.58,22.25,1,1,"AC,KE,VZ",5
2025-11-18,2026-06-01_BKK-CNX-HKT_2026-06-13,BKK > CNX > HKT,2026-06-01,2026-06-13,1433.03,1433.03,51.25,25.58,22.25,1,1,"AC,KE,SL,VZ",6
2025-11-18,2026-06-01_BKK-CNX-HKT_2026-06-14,BKK > CNX > HKT,2026-06-01,2026-06-14,1433.03,1433.03,51.25,25.58,22.25,1,1,"AC,KE,SL,VZ",7
2025-11-18,2026-05-31_BKK-HKT_2026-06-13,BKK > HKT,2026-05-31,2026-06-13,1468.13,1468.13,62.25,38.5,22.25,1,1,"KE,UA,VZ",8
2025-11-18,2026-05-31_BKK-HKT_2026-06-14,BKK > HKT,2026-05-31,2026-06-14,1468.13,1468.13,62.25,38.5,22.25,1,1,"KE,UA,VZ",9
2025-11-18,2026-05-30_BKK-HKT_2026-06-12,BKK > HKT,2026-05-30,2026-06-12,1487.73,1487.73,49.25,25.58,22.25,1,1,"AC,KE,SL",10
2025-11-19,2026-06-01_BKK-HKT_2026-06-13,BKK > HKT,2026-06-01,2026-06-13,1295.53,1295.53,49.33,25.58,22.25,1,1,"AC,KE,VZ",1
2025-11-19,2026-06-01_BKK-HKT_2026-06-14,BKK > HKT,2026-06-01,2026-06-14,1295.53,1295.53,49.33,25.58,22.25,1,1,"AC,KE,VZ",2
2025-11-19,2026-05-30_BKK-HKT_2026-06-13,BKK > HKT,2026-05-30,2026-06-13,1355.53,1355.53,49.33,25.58,22.25,1,1,"AC,KE,VZ",3
2025-11-19,2026-05-30_BKK-HKT_2026-06-14,BKK > HKT,2026-05-30,2026-06-14,1355.53,1355.53,49.33,25.58,22.25,1,1,"AC,KE,VZ",4
2025-11-19,2026-06-01_BKK-HKT_2026-06-12,BKK > HKT,2026-06-01,2026-06-12,1418.53,1418.53,49.33,25.58,22.25,1,1,"AC,KE,VZ",5
2025-11-20,2026-06-01_BKK-HKT_2026-06-13,BKK > HKT,2026-06-01,2026-06-13,1295.43,1295.43,49.33,25.58,22.25,1,1,"AC,KE,VZ",1
2025-11-20,2026-06-01_BKK-HKT_2026-06-14,BKK > HKT,2026-06-01,2026-06-14,1295.43,1295.43,49.33,25.58,22.25,1,1,"AC,KE,VZ",2
2025-11-20,2026-05-30_BKK-HKT_2026-06-13,BKK > HKT,2026-05-30,2026-06-13,1355.43,1355.43,49.33,25.58,22.25,1,1,"AC,KE,VZ",3
2025-11-20,2026-05-30_BKK-HKT_2026-06-14,BKK > HKT,2026-05-30,2026-06-14,1355.43,1355.43,49.33,25.58,22.25,1,1,"AC,KE,VZ",4
2025-11-20,2026-06-01_BKK-HKT_2026-06-12,BKK > HKT,2026-06-01,2026-06-12,1418.43,1418.43,49.33,25.58,22.25,1,1,"AC,KE,VZ",5
